AGENT.ID,TotalIn,TotalOut,Movements,NetBalance
648,0,200963312,13,-200963312
649,24480085,151631038,9,-127150953
650,0,3980489,1,-3980489
651,251403282,188735375,18,62667907
652,0,14266736,2,-14266736
653,0,391834985,23,-391834985
654,0,2844383,1,-2844383
655,0,10166257,3,-10166257
656,0,5078389,1,-5078389
657,0,32787334,1,-32787334
658,0,10576127,6,-10576127
659,0,4709972,3,-4709972
660,0,145295758,19,-145295758
661,366071505,24510711,48,341560794
662,0,46444579,3,-46444579
663,0,21425912,9,-21425912
664,0,274102087,79,-274102087
665,0,58425797,15,-58425797
666,0,19915938,1,-19915938
667,0,75896977,27,-75896977
668,0,1366390472,46,-1366390472
669,0,718340492,9,-718340492
670,0,3020003,1,-3020003
671,0,9376125896,11,-9376125896
672,0,52146876,8,-52146876
673,0,9245867,2,-9245867
674,0,9900884907,24,-9900884907
675,0,1693719,2,-1693719
676,0,216676228,10,-216676228
677,0,10700725,1,-10700725
678,0,66728837,16,-66728837
679,0,30142263,10,-30142263
680,0,79504934,24,-79504934
681,0,4184213,1,-4184213
682,0,250566589,14,-250566589
683,0,6475568,2,-6475568
684,0,5860496,4,-5860496
685,0,28319666,2,-28319666
686,0,35498326,10,-35498326
687,0,101724,1,-101724
688,0,52410138,2,-52410138
689,440944079,4705441909,56,-4264497830
690,0,3751439,3,-3751439
691,0,183441051,14,-183441051
692,0,52265539,14,-52265539
693,0,30795150,8,-30795150
694,0,1760624,1,-1760624
695,0,1953865,1,-1953865
696,0,9726141839,29,-9726141839
697,0,76765373,9,-76765373
698,0,42385254,11,-42385254
699,0,4651340,2,-4651340
700,793157417,72645997,71,720511420
701,0,2760486,1,-2760486
702,0,29698249,16,-29698249
703,0,57351064,8,-57351064
704,0,11211929,1,-11211929
705,0,39741243,20,-39741243
706,20821624,6918301801,83,-6897480177
707,0,2027001,1,-2027001
708,0,26642210,3,-26642210
709,365333676,265625641,63,99708035
710,0,7398062070,10,-7398062070
711,60085192,0,10,60085192
712,395256,59240371,5,-58845115
713,0,38587489,5,-38587489
714,0,11326585,2,-11326585
715,3487206149,123894763,281,3363311386
716,0,2541674,3,-2541674
717,0,4336144,2,-4336144
718,0,12589948,3,-12589948
719,45359540,0,2,45359540
720,0,5168056040,12,-5168056040
721,0,149435359,37,-149435359
722,0,89273651,20,-89273651
723,0,28670092,4,-28670092
724,0,327102761,14,-327102761
725,0,1038317653,179,-1038317653
726,0,2363324,2,-2363324
727,0,856494,1,-856494
728,0,67564885,7,-67564885
729,0,2619469,1,-2619469
730,0,36205364,15,-36205364
731,0,24468991,5,-24468991
732,0,75839293,16,-75839293
733,578832567,2242122831,98,-1663290264
734,0,180357476,14,-180357476
735,248301759,24438037,22,223863722
736,0,202502979,68,-202502979
737,0,5180350,4,-5180350
738,0,1075974791,21,-1075974791
739,0,23807491,4,-23807491
740,0,6736857925,12,-6736857925
741,0,1215379,2,-1215379
742,0,22379151,10,-22379151
743,0,64635179,12,-64635179
744,0,9887795,5,-9887795
745,0,58082873,3,-58082873
746,0,138378025,7,-138378025
747,0,8241983,1,-8241983
748,0,5165227,6,-5165227
749,0,14900435,3,-14900435
750,0,13499100,2,-13499100
751,0,6006088,1,-6006088
752,0,22749115,8,-22749115
753,0,69679455,11,-69679455
754,0,8071517,3,-8071517
755,0,3414625,3,-3414625
756,0,62007337,27,-62007337
757,0,91117804,22,-91117804
758,0,6159702,3,-6159702
759,0,7740444785,4,-7740444785
760,0,5157290,2,-5157290
761,0,349806065,108,-349806065
762,0,8146710380,86,-8146710380
763,0,2426462090,107,-2426462090
764,0,73404529,7,-73404529
765,0,6476075,1,-6476075
766,0,148718878,7,-148718878
767,0,4159692,1,-4159692
768,0,5746405,1,-5746405
769,0,31700371,11,-31700371
770,0,21240226,5,-21240226
771,0,1506706,2,-1506706
772,0,51223018,5,-51223018
773,1266119053,3590891,57,1262528162
774,0,30563396,11,-30563396
775,121493,249132385,46,-249010892
776,0,1028379,1,-1028379
777,0,42053745,4,-42053745
778,0,7357499,1,-7357499
779,0,6094050,2,-6094050
780,0,153681835,32,-153681835
781,0,53677884,15,-53677884
782,0,1712962,1,-1712962
783,140220812,0,12,140220812
784,0,27427907,9,-27427907
785,165782394,19469652,32,146312742
786,0,12836225,1,-12836225
787,0,8392321,1,-8392321
788,0,3576731352,4,-3576731352
789,0,69386936,4,-69386936
790,0,1960049,3,-1960049
791,0,728133471,34,-728133471
792,0,335656,1,-335656
793,1291661623,2130683,101,1289530940
794,0,96345156,17,-96345156
795,0,265227,1,-265227
796,0,4767959,2,-4767959
797,0,138975000,11,-138975000
798,0,24059628,4,-24059628
799,0,1859669,4,-1859669
800,0,120596072,25,-120596072
801,0,21296036,4,-21296036
802,0,43615774,2,-43615774
803,0,4382651,2,-4382651
804,0,4900924,1,-4900924
805,0,6519918,3,-6519918
806,0,4501901930,34,-4501901930
807,0,46314468,13,-46314468
808,0,2478755829,6,-2478755829
809,0,141806166,29,-141806166
810,0,9483334,6,-9483334
811,0,3177807,3,-3177807
812,0,57106470,4,-57106470
813,0,8708379,2,-8708379
814,0,21529134,3,-21529134
815,0,1943447,2,-1943447
816,0,104054666,6,-104054666
817,0,7832419,3,-7832419
818,0,29790568,3,-29790568
819,0,10520679,3,-10520679
820,0,6522915,2,-6522915
821,0,39515948,4,-39515948
822,0,26298558,5,-26298558
823,0,100664822,16,-100664822
824,0,3181098503,8,-3181098503
825,0,234570845,58,-234570845
826,0,2964508,1,-2964508
827,0,7370881,1,-7370881
828,0,78492997,27,-78492997
829,0,17648305,2,-17648305
830,0,6716615,3,-6716615
831,0,510338,1,-510338
832,0,5084312,3,-5084312
833,0,83428685,16,-83428685
834,0,17803352,5,-17803352
835,0,15259730,5,-15259730
836,0,644819842,27,-644819842
837,1751252853,379412955,43,1371839898
838,0,40978321,7,-40978321
839,0,8341274344,20,-8341274344
840,0,20814535,4,-20814535
841,0,57650737,9,-57650737
842,0,622172,1,-622172
843,0,169532341,22,-169532341
844,0,4226488,1,-4226488
845,0,36621,1,-36621
846,0,111681963,24,-111681963
847,0,207410192,24,-207410192
848,346535387,87508324,45,259027063
849,0,9440219494,30,-9440219494
850,0,747229,1,-747229
851,14817176,0,3,14817176
852,2264605651,563160310,120,1701445341
853,0,3571016,1,-3571016
854,0,936059,1,-936059
855,0,20530122,1,-20530122
856,0,7263022,5,-7263022
857,0,5275515507,73,-5275515507
858,0,197232788,23,-197232788
859,298447810,23253567,31,275194243
860,0,23804639,4,-23804639
861,0,270066141,9,-270066141
862,0,232682624,100,-232682624
863,0,9016414719,156,-9016414719
864,0,175015758,21,-175015758
865,13865,6017276,4,-6003411
866,0,7875070,3,-7875070
867,0,20059563,3,-20059563
868,0,41684846,6,-41684846
869,52098013,31050104,5,21047909
870,0,170380475,5,-170380475
871,11849706,98000673,25,-86150967
872,0,25901239,2,-25901239
873,268355300,7148636,24,261206664
874,0,16386792,1,-16386792
875,0,16676011,5,-16676011
876,0,76693973,4,-76693973
877,0,108467045,9,-108467045
878,0,334491750,23,-334491750
879,0,1702774,1,-1702774
880,0,102831,1,-102831
881,0,48892383,17,-48892383
882,0,24884125,12,-24884125
883,0,2056944,1,-2056944
884,0,7797853,1,-7797853
885,0,24909193,6,-24909193
886,0,5027514,1,-5027514
887,0,333265614,23,-333265614
888,0,34197911,8,-34197911
889,0,139700279,23,-139700279
890,0,35895918,7,-35895918
891,0,338258626,5,-338258626
892,630789040,88447283,62,542341757
893,0,7742653,3,-7742653
894,62300155,2054199679,82,-1991899524
895,0,400821912,30,-400821912
896,0,108847889,18,-108847889
897,0,48022717,13,-48022717
898,0,1366519368,98,-1366519368
899,0,44280603,3,-44280603
900,0,3920482,1,-3920482
901,0,16250476,1,-16250476
902,0,153707641,7,-153707641
903,0,10792576,3,-10792576
904,0,53839961,9,-53839961
905,0,65881563,2,-65881563
906,325025006,1675199475,75,-1350174469
